jawaban_dummy,jawaban_dosen,nilai_dummy
von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya prosesor memori input output,von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya prosesor memori input output,100
hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,100
server host menjadi tempat menyimpan data informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirim server client berfungsi untuk mengirimkan data informasi simpan server,server host menjadi tempat menyimpan data informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirim server client berfungsi untuk mengirimkan data informasi simpan server,100
turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data cepat kecepatan dimaksud kecepatan pengolahan transmisi data komputer,turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data cepat kecepatan dimaksud kecepatan pengolahan transmisi data komputer,100
von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya cpu memori input output,von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya prosesor memori input output,90
hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa paket dijalankan berada ram dialihkan hard disk rom datanya hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan semuanya,hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,90
server host menjadi tempat menyimpan informasi informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirimkan server client berfungsi untuk mengirimkan data informasi simpan server,server host menjadi tempat menyimpan data informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirim server client berfungsi untuk mengirimkan data informasi simpan server,90
turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data lamban kecepatan dimaksud kecepatan penyulingan transmisi data komputer,turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data cepat kecepatan dimaksud kecepatan pengolahan transmisi data komputer,90
von neumann komputer terakhir memakai konsep penyimpanan dimana komponen komponennya prosesor memori input output,von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya prosesor memori input output,80
hibernate salah satu metode dimana komputer dinyalakan dimatikan data berupa program dijalankan berada ram dialihkan hard motherboard rom data hilang menjadi dinyalakan akhirnya data berupa program dinyalakan dikembalikan khamhaeng rom takjub komputer dimatikan sepenuhnya,hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,80
server host menjadi tempat menyimpan informasi informasi dituju diakses client jaringan client host menjadi alat agar mengakses minta data informasi dikirim server client berfungsi untuk mengirimkan informasi informasi simpan server,server host menjadi tempat menyimpan data informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirim server client berfungsi untuk mengirimkan data informasi simpan server,80
turbo boost cara untuk meningkatkan kecepatan clock komputer mejadi kecepatan maksimal pengolahan datanya lambat laju dimaksud kecepatan pengolahan transmisi data komputer,turbo boost cara untuk meningkatkan kecepatan clock komputer menjadi kecepatan maksimal pengolahan data cepat kecepatan dimaksud kecepatan pengolahan transmisi data komputer,80
von neumann mikroprosesor pertama menggunakan konsep penyimpanan sehingga elemen komponennya mikroprosesor memori input output,von neumann komputer pertama menggunakan konsep penyimpanan dimana komponen komponennya prosesor memori input output,70
hibernate slaah satu tahap dimana komputer dimatikan dimatikan data berupa program dijalankan berada khamhaeng dikembalikan hard disk disket data hilang jadi dinyalakan akhirnya data berisi program dimatikan dikembalikan ram csma takjub komputer dimatikan sepenuhnya,hibernate salah satu proses dimana komputer dimatikan dimatikan data berupa program dijalankan berada ram dialihkan hard disk rom data hilang jadi dinyalakan kembali data berupa program dinyalakan dikembalikan ram rom seakan komputer dimatikan sepenuhnya,70
