jawaban,nilai
"Komputer besar yang masih menggunakan unit kontrol, unit penghitung, dan unit memori untuk sebuah input dan mengeluarkan output",70
Kondisi mematikan daya komputer dengan menyimpan segala kondisi sebelum hibernate pada sebuah state,50
"Client = pengguna, server = pusat, yang punya sistem",40
Fitur untuk meningkatkan performa sebuah sistem lebih dari penggunaan dari biasanya dan mendekati peggunaan maksimal,60
"Dasar perkembangan komputer dengan bagian seperi ALU, memori, IO",40
Mode di komputer untuk menghemat daya listrik,30
"Client: perangkat yang menerima informasi dan menjalankan aplikasi. Server sebagai pusat pengendali data, aplikasi dan keamanan",60
Kemampuan processor untuk meningkatkan frekuensi clock agar performa lebih baik,70
"Komputer Von Neumann terdiri dari tiga unsur utama, yaitu hardware, software, dan brainware.",20
Hibernate berarti PC akan melakukan power down untuk menghemat pemakaian daya tanpa pengguna harus kehilangan data dan proses yang sedang berlangsung.,50
"Client adalah hardware penerima, sementara server adalah hardware yang menyediakan informasi dan fungsi-fungsi yang dapat diakses oleh client.",70
Turbo Boost adalah kondisi yang sangat amat cepat.,50
"Komputer model von neumann adalah arsitektur komputer yang umum dipakai saat ini dimana ada input, cpu, dan output.",70
hibernate adalah kondisi dimana pc tidak beroperasi namun tidak juga mati sehingga operasi yang sedang kita jalankan dijeda dan disimpan sampai pc dinyalakan kembali,60
"client server pada jaringan komputer adalah dua entitas yang mengirimkan, menerima, dan/atau menyediakan data pada jaringan tersebut",60
"Saya tidak tahu apa hubungan turbo boost dengan komputer, namun dalam dunia otomotif turbo boost merupakan tekanan udara tambahan dari turbo yang membantu siklus pembakaran pada mesin pembakaran dalam",20
"Von Neumann merupakan arsitektur komputer yang saat ini dijumpai. Memiliki 3 komponen utama yaitu memori, perangkat input dan output (I/O), dan CPU (Central Processing Unit). Memori merupakan komponen untuk menyimpan data dan perangkat I/O berguna untuk memberikan masukan seperti perintah dari keyboard dan menerima hasil seperti monitor untuk menampilkan gambar. Sedangkan CPU memiliki 2 sub komponen, yaitu control unit (CU) dan arithmetic logic unit (ALU). CU berguna untuk memberikan perintah untuk transfer-transfer data baik dari CPU itu sendiri, memori, atau perangkat I/O untuk memasuki suatu slot. Terakhir ALU berfungsi untuk melakukan perhitungan pada komputer yang memiliki beberapa slot dan terdapat akumulator untuk memproses itu.",100
"Hibernate memiliki kesamaan dengan sleep karena daya dimatikan sama sekali, tetapi perbedaannya berada pada dokumen yang disimpan. Pada sleep, semua operasi dihentikan sedangkan pada hibernate dokumen tersebut disimpan pada harddisk sehingga saat dinyalakan kembali dokumen tersebut dapat digunakan kembali.",70
